,k100_close
2024-11-08,2558.81
2024-11-11,2520.16
2024-11-12,2466.26
2024-11-13,2404.52
2024-11-14,2394.12
2024-11-15,2414.86
2024-11-18,2476.07
2024-11-19,2472.95
2024-11-20,2481.6
2024-11-21,2487.08
2024-11-22,2510.41
2024-11-25,2540.87
2024-11-26,2535.23
2024-11-27,2510.94
2024-11-28,2502.66
2024-11-29,2456.86
2024-12-02,2459.27
2024-12-03,2502.22
2024-12-04,2467.12
2024-12-05,2446.6
2024-12-06,2433.4
2024-12-09,2373.59
2024-12-10,2423.15
2024-12-11,2443.71
2024-12-12,2481.86
2024-12-13,2492.01
2024-12-16,2484.27
2024-12-17,2448.53
2024-12-18,2485.07
2024-12-19,2427.4
2024-12-20,2397.31
2024-12-23,2431.09
2024-12-24,2434.98
2024-12-26,2420.39
2024-12-27,2405.66
2024-12-30,2395.42
2025-01-02,2395.74
2025-01-03,2443.04
2025-01-06,2503.08
2025-01-07,2496.68
2025-01-08,2529.97
2025-01-09,2533.06
2025-01-10,2525.74
2025-01-13,2491.46
2025-01-14,2494.36
2025-01-15,2495.75
2025-01-16,2531.74
2025-01-17,2526.94
2025-01-20,2517.3
2025-01-21,2520.58
2025-01-22,2554.37
2025-01-23,2523.01
2025-01-24,2539.52
2025-01-31,2514.5
2025-02-03,2448.33
2025-02-04,2478.6
2025-02-05,2508.99
2025-02-06,2537.86
2025-02-07,2518.06
2025-02-10,2523.03
2025-02-11,2540.05
2025-02-12,2541.62
2025-02-13,2568.6
2025-02-14,2582.45
2025-02-17,2599.42
2025-02-18,2618.62
2025-02-19,2672.41
2025-02-20,2654.45
2025-02-21,2651.11
2025-02-24,2635.69
2025-02-25,2617.39
2025-02-26,2629.81
2025-02-27,2607.33
2025-02-28,2515.04
2025-03-04,2514.54
2025-03-05,2534.95
2025-03-06,2559.77
2025-03-07,2544.37
2025-03-10,2547.04
2025-03-11,2518.92
2025-03-12,2566.06
2025-03-13,2569.05
2025-03-14,2561.47
2025-03-17,2619.28
2025-03-18,2616.5
2025-03-19,2640.25
2025-03-20,2664.11
2025-03-21,2679.65
2025-03-24,2663.93
2025-03-25,2648.28
2025-03-26,2679.73
2025-03-27,2644.33
2025-03-28,2587.2
2025-03-31,2504.53
2025-04-01,2550.25
2025-04-02,2534.94
2025-04-03,2509.61
2025-04-04,2474.48
2025-04-07,2330.54
2025-04-08,2333.54
2025-04-09,2293.47
2025-04-10,2449.31
2025-04-11,2424.08
2025-04-14,2446.54
2025-04-15,2466.9
2025-04-16,2430.43
2025-04-17,2450.61
2025-04-18,2465.59
2025-04-21,2473.29
2025-04-22,2468.38
2025-04-23,2510.25
2025-04-24,2505.74
2025-04-25,2528.82
2025-04-28,2529.17
2025-04-29,2542.84
2025-04-30,2540.59
2025-05-02,2539.34
2025-05-07,2559.62
2025-05-08,2556.99
2025-05-09,2556.18
2025-05-12,2601.14
2025-05-13,2600.4
2025-05-14,2634.02
2025-05-15,2613.46
2025-05-16,2620.78
2025-05-19,2592.15
2025-05-20,2595.83
2025-05-21,2613.64
2025-05-22,2578.57
2025-05-23,2580.13
2025-05-26,2632.08
2025-05-27,2624.08
2025-05-28,2664.6
2025-05-29,2712.79
2025-05-30,2684.77
2025-06-02,2687.0
2025-06-04,2760.96
2025-06-05,2813.69
2025-06-09,2863.47
2025-06-10,2874.67
2025-06-11,2912.26
2025-06-12,2916.49
2025-06-13,2893.93
2025-06-16,2942.53
2025-06-17,2950.65
2025-06-18,2981.37
2025-06-19,2981.66
2025-06-20,3029.46
2025-06-23,3021.16
2025-06-24,3124.37
2025-06-25,3137.18
2025-06-26,3106.45
2025-06-27,3084.35
2025-06-30,3096.81
2025-07-01,3106.5
2025-07-02,3095.15
2025-07-03,3148.21
2025-07-04,3089.68
2025-07-07,3089.08
2025-07-08,3148.78
2025-07-09,3150.55
2025-07-10,3198.62
2025-07-11,3197.29
2025-07-14,3229.16
2025-07-15,3245.82
2025-07-16,3219.18
2025-07-17,3222.2
2025-07-18,3218.95
2025-07-21,3247.96
2025-07-22,3196.32
2025-07-23,3211.76
2025-07-24,3212.11
2025-07-25,3218.36
2025-07-28,3242.21
2025-07-29,3257.17
2025-07-30,3291.01
2025-07-31,3280.71
2025-08-01,3149.04
2025-08-04,3178.67
2025-08-05,3225.84
2025-08-06,3217.46
